label,example_rank,confidence,text,top_attention_tokens,top_attention_scores
sadness,1,0.9988104,i feel so disappointed when my ex girlfriend doesn t call me back,"feel, i, so, my, disappointed, me, when, doesn","0.2137, 0.1806, 0.1475, 0.0976, 0.0802, 0.0569, 0.0440, 0.0264"
sadness,2,0.99879515,i feel so extremely disappointed by you you took me for granted,"feel, i, so, extremely, disappointed, you, you, me","0.2005, 0.1664, 0.1502, 0.1129, 0.0785, 0.0617, 0.0409, 0.0370"
sadness,3,0.9987814,i feel like life is so vain,"feel, i, like, so, is, life, vain","0.1937, 0.1927, 0.1608, 0.1191, 0.1128, 0.0541, 0.0503"
sadness,4,0.99877757,i get disappointed it makes me feel so rejected especially being disappointed by a loved one,"feel, i, me, so, get, rejected, being, makes","0.1337, 0.1327, 0.0909, 0.0845, 0.0767, 0.0746, 0.0613, 0.0593"
sadness,5,0.998777,i feel gloomy and tired,"gloomy, i, feel, and, tired","0.2473, 0.2374, 0.1981, 0.1066, 0.0554"
joy,1,0.9990169,i entered the office though feeling the monday blues with a joyful and serene spirit dominating,"feeling, i, though, joyful, entered, the, a, with","0.1560, 0.1157, 0.0735, 0.0731, 0.0672, 0.0635, 0.0590, 0.0534"
joy,2,0.9990013,ive also been for a run which im feeling particularly virtuous about,"feeling, virtuous, particularly, ive, also, im, been, which","0.1529, 0.1291, 0.1052, 0.0982, 0.0683, 0.0640, 0.0619, 0.0560"
joy,3,0.9989843,i feel i am appreciative i take care of the baby i try to keep the apt clean as much as possible and i try not to call him a million times to find out when hell be home it varies from day to day as he is sort of self employed so its hard to plan things around his schedule,"appreciative, feel, am, i, i, i, i, i","0.1171, 0.0795, 0.0697, 0.0665, 0.0586, 0.0523, 0.0447, 0.0370"
joy,4,0.9989813,i feel virtuous and tough when i wear a hat jeans and a tshirt without worrying,"feel, virtuous, i, i, and, when, without, wear","0.1730, 0.1672, 0.1384, 0.0891, 0.0729, 0.0346, 0.0299, 0.0272"
joy,5,0.9989808,i like being in church on sundays it makes me feel more virtuous how self effacing and more settled for the week ahead,"feel, virtuous, i, me, more, makes, it, how","0.1014, 0.0999, 0.0904, 0.0809, 0.0719, 0.0552, 0.0488, 0.0453"
love,1,0.99326974,i feel like youre just not there some body that im trying to be affectionate with it feels like im molesting some stranger i dont even know,"feel, like, just, not, i, feels, like, trying","0.0965, 0.0706, 0.0690, 0.0643, 0.0539, 0.0493, 0.0485, 0.0454"
love,2,0.99315345,i found myself feeling nostalgic as i thought about the temporarily abandoned little bishop chronicles,"nostalgic, feeling, found, i, myself, as, i, thought","0.1974, 0.1545, 0.1163, 0.1022, 0.0870, 0.0812, 0.0744, 0.0522"
love,3,0.9930916,im feeling all romantic so i thought id show you some easy last minute presents and fashion ideas for valentines day,"feeling, all, romantic, thought, so, i, im, id","0.1581, 0.1134, 0.0825, 0.0801, 0.0784, 0.0749, 0.0697, 0.0373"
