label,confidence,text,top_tokens,top_scores
sadness,0.99839514,i feel kind of unwelcome in many catholic communities but i hope that isnt the case here,"unwelcome, feel, hope, catholic, kind, in, but, many","2.2740, 0.3667, 0.3639, 0.2154, 0.1796, 0.0933, 0.0815, 0.0597"
sadness,0.9983796,i went to training feeling very disheartened,"disheartened, feeling, training, went, to, i, very","2.8460, 0.9085, 0.1895, 0.1714, 0.1550, 0.1266, 0.1085"
sadness,0.99835265,i feel like im unwelcome,"unwelcome, feel, i, like, im","3.6072, 1.0783, 0.3471, 0.2157, 0.0128"
joy,0.9986879,i was feeling brave i would try to pick up running again,"feeling, brave, would, up, try, running, to, was","2.8660, 2.1987, 0.3715, 0.3327, 0.3121, 0.2995, 0.2839, 0.2489"
joy,0.9986798,i feel a little virtuous doing these things but on the other hand nini s tasted better,"virtuous, feel, better, a, little, i, doing, tasted","1.5474, 0.7273, 0.3861, 0.2240, 0.2098, 0.1952, 0.1723, 0.1454"
joy,0.99867815,i feel brave today heading to amman and beirut by way of istanbul or i feel brave today a href http jessicadickinsongoodman,"feel, brave, i, feel, brave, i, a, today","1.8527, 1.2370, 0.6992, 0.5375, 0.4999, 0.2827, 0.2187, 0.1883"
love,0.996865,i really feel like they were gentle reminders that while god hasnt always promised an easy road he has promised to be with us as we travel the rough ones,"gentle, feel, were, like, promised, always, reminders, they","1.7992, 0.7234, 0.1962, 0.1923, 0.1624, 0.1266, 0.1253, 0.1117"
love,0.9968071,i am definitely feeling the effects of the progesterone in two ways my breasts are tender and i m tired,"tender, are, and, am, my, i, feeling, the","2.9155, 1.1988, 0.4326, 0.3952, 0.3185, 0.3102, 0.3009, 0.2728"
love,0.9967789,i am working right now guys and feel horny and so much passion,"horny, passion, feel, much, i, working, am, right","4.1258, 0.8363, 0.6563, 0.4362, 0.2434, 0.1711, 0.1104, 0.0792"
anger,0.99847347,im crashing and i feel all irritable and estrogen ish,"irritable, feel, i, all, ish, and, estrogen, im","7.5219, 2.0988, 0.4507, 0.3510, 0.2216, 0.1026, 0.1003, 0.0701"
anger,0.9984394,i sometimes have urges to just freak out because i feel so bothered and usually nothing has caused me to feel bothered or irritated i scratch my arms when i m mad,"bothered, feel, so, bothered, mad, and, i, irritated","4.3588, 1.1426, 0.8913, 0.7168, 0.5519, 0.4193, 0.3873, 0.2575"
anger,0.99842787,ive struggled mightily through today and even though i feel cranky and tired and unmotivated still i really am not going to be going to sleep before eleven thirty,"cranky, feel, i, unmotivated, tired, sleep, thirty, though","5.8147, 0.4869, 0.2514, 0.2325, 0.1665, 0.1572, 0.1181, 0.0850"
fear,0.99816954,i feel less frightened and more grounded and centered,"frightened, feel, less, i, and, grounded, and, centered","3.2502, 1.7839, 1.3864, 0.6797, 0.3427, 0.1326, 0.0589, 0.0527"
fear,0.99816626,i feel scared anxious,"scared, feel, anxious, i","1.6733, 1.1124, 0.6127, 0.5799"
fear,0.9981608,i feel afraid agn lol whats new,"afraid, feel, agn, i, new, lol, whats","5.5029, 3.8762, 0.9775, 0.7968, 0.5886, 0.4887, 0.1974"
surprise,0.99741745,i always feel very shocked by that me threatening,"shocked, feel, threatening, very, i, me, that, always","3.0531, 1.1548, 0.5874, 0.4340, 0.3805, 0.1449, 0.1059, 0.0907"
surprise,0.99736017,i started feeling a little funny but this was not anxiety but at the time i didnt know so i started to tell my brother man i dont feel good and he said whats wrong i said i dont know but u better drive so i pulled over and let him drive,"feeling, feel, funny, little, a, good, dont, and","3.4308, 2.6366, 2.4197, 1.0714, 0.6504, 0.6326, 0.4016, 0.2746"
surprise,0.9973546,i feel like they bring the characters to life completely and i m always kind of surprised what the actors do do together,"surprised, what, kind, of, the, i, feel, and","3.3677, 0.6251, 0.5135, 0.5101, 0.4461, 0.2221, 0.2094, 0.1855"
