label,rank,token,total_score,count,avg_score
sadness,1,miserable,2.6135761737823486,2,1.3067880868911743
sadness,2,feel,1.4455363601446152,5,0.28910727202892306
sadness,3,heap,1.1697168350219727,1,1.1697168350219727
sadness,4,useless,0.9692199230194092,1,0.9692199230194092
sadness,5,worthless,0.9479755163192749,1,0.9479755163192749
sadness,6,totally,0.5699555277824402,1,0.5699555277824402
sadness,7,like,0.552780419588089,2,0.2763902097940445
sadness,8,just,0.4599493741989136,1,0.4599493741989136
sadness,9,guilty,0.38951238989830017,1,0.38951238989830017
sadness,10,today,0.3481026887893677,1,0.3481026887893677
sadness,11,fucking,0.3126559853553772,1,0.3126559853553772
sadness,12,look,0.3121151924133301,1,0.3121151924133301
sadness,13,daycare,0.24363648891448975,1,0.24363648891448975
sadness,14,doesnt,0.064415343105793,1,0.064415343105793
sadness,15,putting,0.034016989171504974,1,0.034016989171504974
joy,1,productive,3.4261736273765564,3,1.1420578757921855
joy,2,feel,1.9742193222045898,4,0.49355483055114746
joy,3,creative,1.3173952102661133,2,0.6586976051330566
joy,4,perfectly,0.9405928254127502,1,0.9405928254127502
joy,5,feeling,0.853961169719696,1,0.853961169719696
joy,6,need,0.6094761490821838,1,0.6094761490821838
joy,7,would,0.574502170085907,1,0.574502170085907
joy,8,mellow,0.5270498991012573,1,0.5270498991012573
joy,9,perfect,0.4887726604938507,1,0.4887726604938507
joy,10,will,0.34370872378349304,1,0.34370872378349304
joy,11,event,0.24297888576984406,1,0.24297888576984406
joy,12,energized,0.030638374388217926,1,0.030638374388217926
love,1,feel,2.9180962443351746,5,0.5836192488670349
love,2,affectionate,2.1627354621887207,1,2.1627354621887207
love,3,generous,1.9531574249267578,1,1.9531574249267578
love,4,sweet,1.2447319030761719,1,1.2447319030761719
love,5,gentle,1.0253576040267944,1,1.0253576040267944
love,6,him,0.6872742176055908,1,0.6872742176055908
love,7,tender,0.6768953800201416,1,0.6768953800201416
love,8,love,0.6292751431465149,1,0.6292751431465149
love,9,touch,0.18840671330690384,2,0.09420335665345192
love,10,then,0.07946832478046417,1,0.07946832478046417
love,11,boy,0.07945341616868973,1,0.07945341616868973
love,12,toward,0.07273726910352707,1,0.07273726910352707
love,13,enfold,0.026503123342990875,1,0.026503123342990875
anger,1,furious,2.298684239387512,2,1.149342119693756
anger,2,agitated,1.7913181781768799,1,1.7913181781768799
anger,3,feel,1.1704044342041016,5,0.23408088684082032
anger,4,insulted,0.7744532227516174,1,0.7744532227516174
anger,5,angry,0.764773428440094,1,0.764773428440094
anger,6,responds,0.5746884346008301,1,0.5746884346008301
anger,7,condoning,0.5099890828132629,1,0.5099890828132629
anger,8,pissed,0.5015144348144531,1,0.5015144348144531
anger,9,not,0.44462496042251587,1,0.44462496042251587
anger,10,myself,0.370622843503952,1,0.370622843503952
anger,11,powerless,0.3402388095855713,1,0.3402388095855713
anger,12,pete,0.32415932416915894,1,0.32415932416915894
anger,13,damn,0.25559738278388977,1,0.25559738278388977
anger,14,death,0.2548708915710449,1,0.2548708915710449
anger,15,off,0.18620899319648743,1,0.18620899319648743
fear,1,nervous,2.4219714403152466,2,1.2109857201576233
fear,2,feel,1.3003990948200226,2,0.6501995474100113
fear,3,anxious,1.250219613313675,2,0.6251098066568375
fear,4,frantic,1.151428461074829,1,1.151428461074829
fear,5,suspicious,0.7620159983634949,1,0.7620159983634949
fear,6,unsure,0.6770020723342896,1,0.6770020723342896
fear,7,feeling,0.5326297879219055,3,0.17754326264063516
fear,8,vulnerable,0.4834953546524048,1,0.4834953546524048
fear,9,find,0.34695473313331604,1,0.34695473313331604
fear,10,still,0.3394899144768715,2,0.16974495723843575
fear,11,myself,0.32192304730415344,1,0.32192304730415344
fear,12,wake,0.27766838669776917,1,0.27766838669776917
fear,13,worried,0.25096964836120605,1,0.25096964836120605
fear,14,bit,0.08032417297363281,1,0.08032417297363281
fear,15,lost,0.05791732668876648,1,0.05791732668876648
surprise,1,feeling,0.9957849383354187,3,0.3319283127784729
surprise,2,amazed,0.7966468334197998,1,0.7966468334197998
surprise,3,amazing,0.6411407589912415,2,0.3205703794956207
surprise,4,scrapers,0.4054790437221527,1,0.4054790437221527
surprise,5,montana,0.3794652223587036,1,0.3794652223587036
surprise,6,strange,0.3652111813426018,2,0.1826055906713009
surprise,7,feel,0.3487567603588104,2,0.1743783801794052
surprise,8,girl,0.294780969619751,1,0.294780969619751
surprise,9,blogged,0.2713232636451721,1,0.2713232636451721
surprise,10,orders,0.20849579572677612,1,0.20849579572677612
surprise,11,everything,0.1739562749862671,1,0.1739562749862671
surprise,12,would,0.1349961906671524,1,0.1349961906671524
surprise,13,giving,0.12774257361888885,1,0.12774257361888885
surprise,14,body,0.12567734718322754,1,0.12567734718322754
surprise,15,seeing,0.11978650093078613,1,0.11978650093078613
