label,rank,feature,coefficient
sadness,1,melancholy,4.342497904397626
sadness,2,miserable,4.232859547582188
sadness,3,lethargic,4.168758890787432
sadness,4,awkward,4.1454423713630435
sadness,5,punished,4.090341073539294
sadness,6,exhausted,4.053771873452408
sadness,7,unwelcome,4.003676207729218
sadness,8,dull,3.980983476949842
sadness,9,shitty,3.963643150505761
sadness,10,low,3.960557322454354
sadness,11,gloomy,3.9443990897603207
sadness,12,disturbed,3.9159538107948166
sadness,13,discouraged,3.914304532955639
sadness,14,devastated,3.9014017726976493
sadness,15,troubled,3.8990665885376012
sadness,16,regretful,3.879991484226773
sadness,17,fake,3.846415082011134
sadness,18,pathetic,3.8378604075011142
sadness,19,missed,3.7999681682699684
sadness,20,aching,3.7853038049259493
sadness,21,burdened,3.7811985886834254
sadness,22,disheartened,3.7784308795882042
sadness,23,dumb,3.7740818813460617
sadness,24,unfortunate,3.760919623220069
sadness,25,ignored,3.737796063665985
joy,1,successful,3.904333127207415
joy,2,pleasant,3.7503397205489697
joy,3,innocent,3.6753778210879453
joy,4,glad,3.586466026208873
joy,5,satisfied,3.5740636844047455
joy,6,sincere,3.5547286101362205
joy,7,cute,3.5546044217798545
joy,8,rich,3.547490673789064
joy,9,divine,3.5255084932811176
joy,10,popular,3.4565159724707657
joy,11,resolved,3.4196768427091673
joy,12,convinced,3.4048911759465046
joy,13,cool,3.3701278020599474
joy,14,content,3.360119942199938
joy,15,superior,3.3565351995192088
joy,16,mellow,3.3415911285280684
joy,17,talented,3.321017837393884
joy,18,delicious,3.3055343999415885
joy,19,special,3.2900108320473533
joy,20,productive,3.264998186150065
joy,21,respected,3.25868464264674
joy,22,brave,3.2532779084919197
joy,23,friendly,3.2515262976242316
joy,24,precious,3.250083835399885
joy,25,determined,3.24790635607782
love,1,caring,8.060830360418313
love,2,loving,7.948194134132096
love,3,nostalgic,7.8828057390209345
love,4,naughty,7.719435561000587
love,5,hot,7.6793274428728635
love,6,sympathetic,7.566122532656023
love,7,sweet,7.49252927484495
love,8,tender,7.448353161989039
love,9,horny,7.398108535608145
love,10,delicate,7.299690088213488
love,11,lovely,7.283365018266628
love,12,longing,7.064464331831126
love,13,romantic,7.021249711861872
love,14,liked,7.005358100251751
love,15,supportive,6.946140447421056
love,16,loyal,6.834817224286063
love,17,gentle,6.561349610892954
love,18,supporting,6.427773058940324
love,19,loved,6.0792385883402495
love,20,fond,5.822622466223508
love,21,beloved,5.686469777659016
love,22,accepted,5.604546688015772
love,23,passionate,5.5444504803960415
love,24,generous,5.359662796052833
love,25,blessed,5.084809454813371
anger,1,greedy,6.68056125709596
anger,2,dangerous,6.602429122144064
anger,3,rude,6.227995469308285
anger,4,irritable,6.204866873473338
anger,5,offended,6.15127512032616
anger,6,bothered,6.123605973435095
anger,7,dissatisfied,6.004727027175696
anger,8,bitchy,5.95696022612716
anger,9,violent,5.9559800130612
anger,10,selfish,5.905728548379006
anger,11,petty,5.815830259558103
anger,12,fucked,5.800037629187796
anger,13,rebellious,5.788404226747804
anger,14,resentful,5.785742310166605
anger,15,distracted,5.746756631205669
anger,16,wronged,5.720003717619672
anger,17,cranky,5.681975914768309
anger,18,rushed,5.655089912612342
anger,19,cold,5.639355494252695
anger,20,insulted,5.624846247618729
anger,21,irritated,5.482526635716177
anger,22,angry,5.4440334972630575
anger,23,mad,5.396720644459884
anger,24,bitter,5.309046568478254
anger,25,stubborn,5.234578563039548
fear,1,terrified,7.362389921270396
fear,2,shaken,7.2543831233297675
fear,3,vulnerable,7.005769952379006
fear,4,paranoid,6.448893463438746
fear,5,uncertain,6.411754914719388
fear,6,nervous,6.381419679632256
fear,7,scared,6.357481465515174
fear,8,reluctant,6.213367694792672
fear,9,pressured,6.192617894475088
fear,10,apprehensive,6.14114726777775
fear,11,shaky,6.1406017742205306
fear,12,shy,5.933784239065933
fear,13,unsure,5.7218164183578955
fear,14,afraid,5.7216387713837715
fear,15,frantic,5.672898390819597
fear,16,fearful,5.658907294117863
fear,17,insecure,5.578433449435715
fear,18,intimidated,5.56662967034561
fear,19,frightened,5.519803435320102
fear,20,threatened,5.385376195236596
fear,21,hesitant,5.324475052050257
fear,22,uncomfortable,5.274423992584416
fear,23,anxious,5.180446477060453
fear,24,skeptical,5.179391196994956
fear,25,confused,5.131840502203442
surprise,1,amazed,12.41957762631236
surprise,2,surprised,12.11781698328798
surprise,3,impressed,11.5343400794659
surprise,4,funny,11.45671291128175
surprise,5,curious,11.127667038829435
surprise,6,shocked,10.894842748957803
surprise,7,strange,9.623741279530487
surprise,8,dazed,8.789933579326926
surprise,9,overwhelmed,8.542748763593277
surprise,10,amazing,8.404271987008903
surprise,11,weird,7.927000170122813
surprise,12,stunned,6.6670196712373
surprise,13,impressed with,4.104222825234022
surprise,14,dazed and,3.888392045600253
surprise,15,feel amazed,3.607948052919914
surprise,16,feel funny,3.414490181377882
surprise,17,curious about,3.371723942680176
surprise,18,feel surprised,3.330979426633213
surprise,19,feeling dazed,3.1361378423806427
surprise,20,amazed at,2.970541460398232
surprise,21,amazed that,2.8770026224779186
surprise,22,of strange,2.6767759923189174
surprise,23,feeling strange,2.64847076073592
surprise,24,feel weird,2.6301254328191135
surprise,25,feel curious,2.6015830917144402
